neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
East Region,Bedok,1.30942,103.91233,1.0,90,0.6931471805599453,3.091042453358316,0.8109302162163288,0.9780821917808219
East Region,Bedok,1.30801,103.91084,1.0,90,0.6931471805599453,2.3978952727983707,0.5247285289349821,0.9808219178082191
East Region,Bedok,1.30967,103.91122,1.0,250,0.6931471805599453,0.0,0.0,0.9808219178082191
East Region,Bedok,1.30861,103.91148,1.0,250,0.6931471805599453,1.6094379124341003,0.2776317365982795,0.9808219178082191
East Region,Bedok,1.30966,103.91255,1.0,250,0.6931471805599453,0.0,0.0,0.9780821917808219
Central Region,Queenstown,1.27744,103.7886,1.0,58,2.3978952727983707,1.791759469228055,0.27002713721306015,0.0
East Region,Bedok,1.30992,103.91155,1.0,250,0.6931471805599453,0.0,0.0,0.9808219178082191
East Region,Bedok,1.30845,103.91122,1.0,250,0.6931471805599453,1.0986122886681096,0.13976194237515868,0.9808219178082191
West Region,Jurong West,1.35045,103.71907,1.0,31,0.6931471805599453,0.6931471805599453,0.06765864847381481,0.0
Central Region,Kallang,1.30025,103.86027,2.0,99,0.6931471805599453,2.4849066497880004,0.5653138090500605,0.3424657534246575
Central Region,Queenstown,1.27957,103.78723,1.0,85,0.6931471805599453,1.0986122886681096,0.13976194237515868,1.0
East Region,Bedok,1.3151,103.96063,2.0,300,0.6931471805599453,1.0986122886681096,0.12221763272424921,0.14794520547945206
Central Region,Queenstown,1.28099,103.78738,1.0,137,1.791759469228055,1.791759469228055,0.2776317365982795,0.9972602739726028
Central Region,Kallang,1.32188,103.8655,2.0,132,2.0794415416798357,1.0986122886681096,0.26236426446749106,0.915068493150685
Central Region,Geylang,1.31456,103.88818,2.0,83,2.70805020110221,2.302585092994046,0.46373401623214017,0.16712328767123288
East Region,Bedok,1.32273,103.93284,1.0,36,1.3862943611198906,1.6094379124341003,0.2151113796169455,0.6547945205479452
Central Region,Downtown Core,1.27705,103.8498,2.0,208,3.4339872044851463,2.772588722239781,0.636576829071551,0.715068493150685
Central Region,Tanglin,1.31583,103.82612,2.0,118,2.0794415416798357,2.639057329615259,0.6043159668533296,0.9726027397260274
Central Region,Novena,1.32475,103.84603,2.0,119,1.791759469228055,1.3862943611198906,0.16551443847757338,0.8767123287671232
Central Region,Geylang,1.31745,103.88788,2.0,137,1.3862943611198906,0.6931471805599453,0.058268908123975775,0.06301369863013699
Central Region,Geylang,1.31466,103.88457,1.0,22,0.6931471805599453,0.0,0.0,0.4931506849315069
Central Region,Kallang,1.31549,103.8575,2.0,110,1.9459101490553132,1.9459101490553132,0.3074846997479606,1.0
Central Region,Rochor,1.30127,103.84681,2.0,150,3.828641396489095,0.0,0.0,1.0
Central Region,Rochor,1.3029,103.84787,2.0,119,1.791759469228055,2.0794415416798357,0.35065687161316933,1.0
Central Region,Queenstown,1.27993,103.78559,1.0,67,0.6931471805599453,2.833213344056216,0.6729444732424258,0.9287671232876712
Central Region,Queenstown,1.27942,103.787,1.0,87,1.791759469228055,1.3862943611198906,0.2468600779315258,0.989041095890411
Central Region,Downtown Core,1.27799,103.85002,2.0,201,0.6931471805599453,2.0794415416798357,0.3576744442718159,0.4273972602739726
Central Region,Newton,1.30573,103.84005,1.0,75,1.6094379124341003,1.0986122886681096,0.13976194237515868,0.9917808219178083
Central Region,Rochor,1.30427,103.86059,1.0,60,2.0794415416798357,1.0986122886681096,0.11332868530700317,0.0
Central Region,Kallang,1.31693,103.85836,1.0,94,1.0986122886681096,3.7612001156935624,1.2669476034873244,0.4438356164383562
Central Region,Kallang,1.31724,103.85879,1.0,60,1.0986122886681096,2.8903717578961645,0.7178397931503169,0.4246575342465753
Central Region,Kallang,1.31675,103.85856,1.0,60,1.0986122886681096,3.4339872044851463,1.0367368849500223,0.4438356164383562
Central Region,Kallang,1.31523,103.85788,1.0,94,1.0986122886681096,3.58351893845611,1.1474024528375417,0.4465753424657534
East Region,Bedok,1.33031,103.94461,2.0,128,2.3978952727983707,2.0794415416798357,0.43178241642553783,0.684931506849315
Central Region,Downtown Core,1.27334,103.84498,2.0,139,3.4011973816621555,0.6931471805599453,0.13976194237515868,0.0
Central Region,Kallang,1.29932,103.85999,2.0,364,1.9459101490553132,1.6094379124341003,0.2546422183735807,0.9726027397260274
Central Region,Kallang,1.31018,103.86336,1.0,169,0.6931471805599453,0.6931471805599453,0.48858001481867097,0.9287671232876712
Central Region,Queenstown,1.27986,103.78589,1.0,85,2.772588722239781,0.6931471805599453,0.058268908123975775,1.0
Central Region,Kallang,1.30873,103.86334,1.0,250,0.6931471805599453,0.0,0.0,0.31232876712328766
Central Region,Kallang,1.31377,103.85708,2.0,300,2.772588722239781,0.6931471805599453,0.058268908123975775,1.0
Central Region,Downtown Core,1.27707,103.84948,2.0,281,1.6094379124341003,2.0794415416798357,0.4574248470388754,0.9835616438356164
East Region,Bedok,1.31857,103.91345,0.0,331,0.6931471805599453,0.0,0.0,1.0
West Region,Clementi,1.30972,103.75755,2.0,350,1.3862943611198906,2.3978952727983707,0.5128236264286637,0.9917808219178083
North-East Region,Hougang,1.3768,103.88022,2.0,250,1.9459101490553132,2.302585092994046,0.5766133643039938,0.989041095890411
Central Region,Outram,1.28364,103.8435,1.0,150,0.6931471805599453,2.639057329615259,0.6729444732424258,0.8383561643835616
Central Region,Bukit Merah,1.2912,103.81596,2.0,260,3.4339872044851463,0.0,0.0,0.9917808219178083
West Region,Jurong East,1.33613,103.74161,2.0,231,3.4339872044851463,0.0,0.0,0.0
West Region,Jurong East,1.33431,103.74137,2.0,210,3.367295829986474,1.3862943611198906,0.30010459245033805,0.9972602739726028
Central Region,Novena,1.31638,103.84665,2.0,331,3.258096538021482,0.0,0.0,0.9972602739726028
Central Region,Downtown Core,1.28062,103.84854,2.0,249,3.4339872044851463,0.0,0.0,0.915068493150685
Central Region,Kallang,1.32001,103.8621,1.0,58,0.6931471805599453,0.0,0.0,0.21643835616438356
East Region,Bedok,1.32287,103.91336,1.0,181,1.3862943611198906,3.713572066704308,1.247032293786383,0.043835616438356165
Central Region,Queenstown,1.30278,103.7893,2.0,100,4.110873864173311,1.0986122886681096,0.13976194237515868,0.2273972602739726
Central Region,Downtown Core,1.27655,103.84888,2.0,281,1.6094379124341003,2.9444389791664403,0.7514160886839212,0.9424657534246575
Central Region,Downtown Core,1.27705,103.84905,2.0,281,1.6094379124341003,2.1972245773362196,0.4382549309311553,0.9424657534246575
Central Region,Kallang,1.31262,103.85876,1.0,85,0.6931471805599453,0.0,0.0,1.0
Central Region,Marine Parade,1.30782,103.90033,2.0,214,1.0986122886681096,3.258096538021482,0.9162907318741551,0.4438356164383562
Central Region,Marine Parade,1.30942,103.89981,2.0,204,1.0986122886681096,3.58351893845611,1.1505720275988207,0.4328767123287671
Central Region,Marine Parade,1.30797,103.8999,2.0,212,1.0986122886681096,3.044522437723423,0.7975071958841881,0.4136986301369863
Central Region,River Valley,1.29417,103.83786,2.0,139,1.0986122886681096,2.4849066497880004,0.5187937934151676,0.863013698630137
Central Region,Kallang,1.31471,103.85902,1.0,85,0.6931471805599453,0.0,0.0,1.0
Central Region,Kallang,1.31425,103.85877,1.0,85,0.6931471805599453,2.1972245773362196,0.4054651081081644,1.0
Central Region,Kallang,1.31242,103.86055,1.0,85,0.6931471805599453,1.0986122886681096,0.23901690047049992,1.0
Central Region,Kallang,1.31276,103.86034,1.0,85,0.6931471805599453,1.9459101490553132,0.32208349916911333,0.989041095890411
Central Region,Geylang,1.31188,103.88907,2.0,92,1.791759469228055,2.5649493574615367,0.5423242908253616,0.0027397260273972603
Central Region,Marine Parade,1.3011,103.91325,2.0,235,0.6931471805599453,1.791759469228055,0.2776317365982795,0.0
Central Region,Kallang,1.32241,103.86506,2.0,350,2.0794415416798357,0.6931471805599453,0.06765864847381481,0.0
Central Region,Kallang,1.31327,103.8593,1.0,169,0.6931471805599453,1.791759469228055,0.5187937934151676,0.9972602739726028
Central Region,Kallang,1.31323,103.85871,1.0,169,0.6931471805599453,1.6094379124341003,0.22314355131420976,1.0
Central Region,Kallang,1.31261,103.86072,1.0,169,0.6931471805599453,0.6931471805599453,0.3435897043900769,1.0
Central Region,Kallang,1.31431,103.8591,1.0,169,0.6931471805599453,0.0,0.0,1.0
Central Region,Kallang,1.31426,103.86031,1.0,169,0.6931471805599453,0.6931471805599453,0.4510756193602167,0.9972602739726028
Central Region,Kallang,1.31449,103.86034,1.0,85,0.6931471805599453,0.0,0.0,1.0
